#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Mon Apr 10 12:40:06 2017

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       nPC_map.ncd
#OUTPUT FILE:      nPC_pad.csv
#PART TYPE:        xc3s100e
#SPEED GRADE:      -4
#PACKAGE:          vq100
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,,,PROG_B,,,,,,,,,,,,
P2,Din<2>,IBUF,IO_L01P_3,INPUT,LVCMOS25*,3,,,,IFD,,UNLOCATED,YES,NONE,
P3,Dout<2>,IOB,IO_L01N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P4,Din<30>,IBUF,IO_L02P_3,INPUT,LVCMOS25*,3,,,,IFD,,UNLOCATED,YES,NONE,
P5,reset,IBUF,IO_L02N_3/VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P6,,,VCCINT,,,,,,,,1.2,,,,
P7,,,GND,,,,,,,,,,,,
P8,,,VCCO_3,,,3,,,,,2.50,,,,
P9,Dout<5>,IOB,IO_L03P_3/LHCLK0,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P10,Din<20>,IBUF,IO_L03N_3/LHCLK1,INPUT,LVCMOS25*,3,,,,IFD,,UNLOCATED,YES,NONE,
P11,Dout<6>,IOB,IO_L04P_3/LHCLK2,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P12,Din<13>,IBUF,IO_L04N_3/LHCLK3/IRDY2,INPUT,LVCMOS25*,3,,,,IFD,,UNLOCATED,YES,NONE,
P13,Din<6>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P14,,,GND,,,,,,,,,,,,
P15,Din<26>,IBUF,IO_L05P_3/LHCLK4/TRDY2,INPUT,LVCMOS25*,3,,,,IFD,,UNLOCATED,YES,NONE,
P16,Dout<26>,IOB,IO_L05N_3/LHCLK5,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
